Date,Duration,Label
1538593038,1,2018-10-03 21:57:19 +0300
1538593654,2,2018-10-03 22:07:36 +0300
1538734425,1,2018-10-05 13:13:46 +0300
1538738730,1,2018-10-05 14:25:31 +0300
1538749763,1,2018-10-05 17:29:24 +0300
1538817333,2,2018-10-06 12:15:35 +0300
1538896055,2,2018-10-07 10:07:37 +0300
1538942513,2,2018-10-07 23:01:55 +0300
1538943675,2,2018-10-07 23:21:17 +0300
1538944267,2,2018-10-07 23:31:09 +0300
1538957665,2,2018-10-08 03:14:27 +0300
1538971512,2,2018-10-08 07:05:14 +0300
1538974836,1,2018-10-08 08:00:37 +0300
1538988036,1,2018-10-08 11:40:37 +0300
1538993640,2,2018-10-08 13:14:02 +0300
1539002178,2,2018-10-08 15:36:20 +0300
1539055508,2,2018-10-09 06:25:10 +0300
1539057334,2,2018-10-09 06:55:36 +0300
1539097362,1,2018-10-09 18:02:43 +0300
1539119343,2,2018-10-10 00:09:05 +0300
1539121243,2,2018-10-10 00:40:45 +0300
1539316543,2,2018-10-12 06:55:45 +0300
1539365225,1,2018-10-12 20:27:06 +0300
1539377092,2,2018-10-12 23:44:54 +0300
1539397963,2,2018-10-13 05:32:45 +0300
1539399246,1,2018-10-13 05:54:07 +0300
1539410909,1,2018-10-13 09:08:30 +0300
1539413794,1,2018-10-13 09:56:35 +0300
1539466880,1,2018-10-14 00:41:21 +0300
1539493049,1,2018-10-14 07:57:30 +0300
1539543966,2,2018-10-14 22:06:08 +0300
1539627170,1,2018-10-15 21:12:51 +0300
1539648935,1,2018-10-16 03:15:36 +0300
1539710528,1,2018-10-16 20:22:09 +0300
1539711113,2,2018-10-16 20:31:55 +0300
1539752750,2,2018-10-17 08:05:52 +0300
1539775641,1,2018-10-17 14:27:22 +0300
1539788268,2,2018-10-17 17:57:50 +0300
1539806499,1,2018-10-17 23:01:40 +0300
1539888838,1,2018-10-18 21:53:59 +0300
1539895658,2,2018-10-18 23:47:40 +0300
1539913201,2,2018-10-19 04:40:03 +0300
1539921557,2,2018-10-19 06:59:19 +0300
1539927605,1,2018-10-19 08:40:06 +0300
1539930889,2,2018-10-19 09:34:51 +0300
1539952832,2,2018-10-19 15:40:34 +0300
1539957750,1,2018-10-19 17:02:31 +0300
1539995289,1,2018-10-20 03:28:10 +0300
1540002219,2,2018-10-20 05:23:41 +0300
1540058640,2,2018-10-20 21:04:02 +0300
1540122067,2,2018-10-21 14:41:09 +0300
1540204390,2,2018-10-22 13:33:12 +0300
1540212050,1,2018-10-22 15:40:51 +0300
1540212678,1,2018-10-22 15:51:19 +0300
1540225141,2,2018-10-22 19:19:03 +0300
1540259952,2,2018-10-23 04:59:14 +0300
1540334376,2,2018-10-24 01:39:38 +0300
1540339453,2,2018-10-24 03:04:15 +0300
1540395807,3,2018-10-24 18:43:30 +0300
1540453800,2,2018-10-25 10:50:02 +0300
1540481318,1,2018-10-25 18:28:39 +0300
1540514028,2,2018-10-26 03:33:50 +0300
1540515571,2,2018-10-26 03:59:33 +0300
1540531171,2,2018-10-26 08:19:33 +0300
1540553488,1,2018-10-26 14:31:29 +0300
1540576277,2,2018-10-26 20:51:19 +0300
1540601703,2,2018-10-27 03:55:05 +0300
1540806539,1,2018-10-29 11:49:00 +0200
1541034117,2,2018-11-01 03:01:59 +0200
1541054479,1,2018-11-01 08:41:20 +0200
1541062140,2,2018-11-01 10:49:02 +0200
1541065503,2,2018-11-01 11:45:05 +0200
1541072355,2,2018-11-01 13:39:17 +0200
1541074396,1,2018-11-01 14:13:17 +0200
1541140242,1,2018-11-02 08:30:43 +0200
1541318968,2,2018-11-04 10:09:30 +0200
1541333988,1,2018-11-04 14:19:49 +0200
1541346261,2,2018-11-04 17:44:23 +0200
1541392386,1,2018-11-05 06:33:07 +0200
1541399920,1,2018-11-05 08:38:41 +0200
1541405110,1,2018-11-05 10:05:11 +0200
1541454082,2,2018-11-05 23:41:24 +0200
1541457332,2,2018-11-06 00:35:34 +0200
1541460002,1,2018-11-06 01:20:03 +0200
1541462679,1,2018-11-06 02:04:40 +0200
1541466474,2,2018-11-06 03:07:56 +0200
1541576138,2,2018-11-07 09:35:40 +0200
1541590075,2,2018-11-07 13:27:57 +0200
1541623362,1,2018-11-07 22:42:43 +0200
1541630162,1,2018-11-08 00:36:03 +0200
1541730981,1,2018-11-09 04:36:22 +0200
1541745580,1,2018-11-09 08:39:41 +0200
1541800811,2,2018-11-10 00:00:13 +0200
1541839283,1,2018-11-10 10:41:24 +0200
1541858219,1,2018-11-10 15:57:00 +0200
1541884783,2,2018-11-10 23:19:45 +0200
1541899420,1,2018-11-11 03:23:41 +0200
1541908956,2,2018-11-11 06:02:38 +0200
1541913607,1,2018-11-11 07:20:08 +0200
1541943875,2,2018-11-11 15:44:37 +0200
1541950720,1,2018-11-11 17:38:41 +0200
1541961857,1,2018-11-11 20:44:18 +0200
